q,dt,relation,y1,y2,dev
8,0.1,1,2.0,8.673617379884035e-19,8.673617379884035e-19
8,0.1,2,2.0,0.0,0.0
8,0.1,3,2.0,-6.938893903907228e-18,6.938893903907228e-18
8,0.1,4,2.0,1.3877787807814457e-17,1.3877787807814457e-17
8,0.1,5,2.0,0.0,0.0
8,0.1,6,2.0,0.0,0.0
8,0.1,7,2.0,0.0,0.0
8,0.1,8,2.0,-2.7755575615628914e-17,2.7755575615628914e-17
8,0.1,9,2.0,0.0,0.0
8,0.2,1,2.0,0.0,0.0
8,0.2,2,2.0,0.0,0.0
8,0.2,3,2.0,0.0,0.0
8,0.2,4,2.0,0.0,0.0
8,0.2,5,2.0,2.7755575615628914e-17,2.7755575615628914e-17
8,0.2,6,2.0,2.7755575615628914e-17,2.7755575615628914e-17
8,0.2,7,2.0,0.0,0.0
8,0.2,8,2.0,-5.551115123125783e-17,5.551115123125783e-17
8,0.2,9,2.0,0.0,0.0
8,0.4,1,2.0,3.469446951953614e-18,3.469446951953614e-18
8,0.4,2,2.0,0.0,0.0
8,0.4,3,2.0,-2.7755575615628914e-17,2.7755575615628914e-17
8,0.4,4,2.0,0.0,0.0
8,0.4,5,2.0,0.0,0.0
8,0.4,6,2.0,1.6653345369377348e-16,1.6653345369377348e-16
8,0.4,7,2.0,0.0,0.0
8,0.4,8,2.0,1.1102230246251565e-16,1.1102230246251565e-16
8,0.4,9,2.0,0.0,0.0
8,0.5,1,2.0,0.0,0.0
8,0.5,2,2.0,0.0,0.0
8,0.5,3,2.0,-2.7755575615628914e-17,2.7755575615628914e-17
8,0.5,4,2.0,-5.551115123125783e-17,5.551115123125783e-17
8,0.5,5,2.0,0.0,0.0
8,0.5,6,2.0,-5.551115123125783e-17,5.551115123125783e-17
8,0.5,7,2.0,0.0,0.0
8,0.5,8,2.0,1.1102230246251565e-16,1.1102230246251565e-16
8,0.5,9,2.0,0.0,0.0
8,0.8,1,2.0,0.0,0.0
8,0.8,2,2.0,0.0,0.0
8,0.8,3,2.0,0.0,0.0
8,0.8,4,2.0,0.0,0.0
8,0.8,5,2.0,0.0,0.0
8,0.8,6,2.0,1.1102230246251565e-16,1.1102230246251565e-16
8,0.8,7,2.0,2.220446049250313e-16,2.220446049250313e-16
8,0.8,8,1.9999999999999998,0.0,2.220446049250313e-16
8,0.8,9,2.0,0.0,0.0
8,1.0,1,2.0,0.0,0.0
8,1.0,2,2.0,0.0,0.0
8,1.0,3,2.0,-1.1102230246251565e-16,1.1102230246251565e-16
