q,quantity,value,expected,abs_err
1,c[0],0.5,0.5,0.0
1,b[0],1.0,1.0,0.0
1,A[0],0.5,0.5,0.0
2,c[0],0.2113248654051871,0.21132486540518713,2.7755575615628914e-17
2,c[1],0.7886751345948129,0.7886751345948128,1.1102230246251565e-16
2,b[0],0.5,0.5,0.0
2,b[1],0.5,0.5,0.0
2,A[0],0.25,0.25,0.0
2,A[1],-0.03867513459481288,-0.038675134594812866,1.3877787807814457e-17
2,A[2],0.5386751345948129,0.5386751345948129,0.0
2,A[3],0.25,0.25,0.0
