dt,radau_self_consistency,vs_gauss_legendre_q12,q12_is_a_valid_comparator
0.025,5.7302997460712835e-15,4.84843512096504e-15,True
0.05,8.499235846951107e-15,5.079270337660091e-15,True
0.1,5.708749087754957e-15,5.563383408525642e-15,True
0.2,7.327682229021407e-15,7.174695502499185e-15,True
0.4,5.34321864568505e-15,8.509155154610063e-15,True
0.5,1.1887684198335596e-14,8.707999455349648e-15,True
0.8,9.433629782339637e-15,1.0527818253729124e-14,True
1.0,1.254748502090408e-14,1.3922125900994122e-14,True
2.0,3.933261805107253e-14,4.5764464907816e-12,False
