q,dt,stage_residual,stage_err,stage_above_floor,endpoint_err,above_floor,max_reconstruction_dev
1,0.025,6.754579534584693e-17,0.00046704394431672464,True,2.0814524151512935e-05,True,3.469446951953614e-18
1,0.05,8.673617379884035e-17,0.0017657964872801113,True,0.00015552584316705508,True,0.0
1,0.1,1.9949319973733282e-17,0.006313180972377945,True,0.001081776172769224,True,0.0
1,0.2,9.367506770274758e-17,0.020262669495280203,True,0.006501026557426758,True,0.0
1,0.4,8.326672684688674e-17,0.05355006697360583,True,0.029478669717521853,True,2.7755575615628914e-17
1,0.5,9.71445146547012e-17,0.06897734451184898,True,0.04374997349530416,True,0.0
1,0.8,2.7755575615628914e-17,0.10436563688215159,True,0.08191765422895568,True,0.0
1,1.0,0.0,0.11968031508672823,True,0.09754204053861676,True,0.0
1,2.0,0.0,0.553637657796597,True,0.3639109183910211,True,0.0
2,0.025,9.421716878899034e-17,2.1727530091601984e-06,True,2.756541765295133e-09,True,0.0
2,0.05,9.194034422677078e-17,1.75055515131635e-05,True,8.170385024663887e-08,True,3.469446951953614e-18
2,0.1,8.153200337090993e-17,0.00013943639927164073,True,2.2298999634164747e-06,True,2.7755575615628914e-17
2,0.2,6.461844948013606e-17,0.0010493813951710548,True,5.10753020695046e-05,True,1.3877787807814457e-17
2,0.4,9.71445146547012e-17,0.006660464997055639,True,0.00081720860443025,True,2.7755575615628914e-17
2,0.5,9.71445146547012e-17,0.011323265946057733,True,0.0017664422189564953,True,5.551115123125783e-17
2,0.8,5.551115123125783e-17,0.03051264383382431,True,0.006914219536008522,True,0.0
2,1.0,1.1102230246251565e-16,0.04682298801700959,True,0.011824662592969923,True,1.1102230246251565e-16
2,2.0,7.979727989493313e-17,0.7238330653410059,True,0.9769171918364329,True,0.0
4,0.025,8.044780119842443e-17,1.1004935080174455e-10,True,4.84843512096504e-15,False,6.938893903907228e-18
4,0.05,6.353424730765056e-17,3.134252813624075e-09,True,5.662137425588298e-15,False,2.7755575615628914e-17
4,0.1,9.107298248878237e-17,7.823350975833494e-08,True,2.3811601496893967e-13,True,2.7755575615628914e-17
4,0.2,8.673617379884035e-17,1.4188040914467025e-06,True,6.664308120721365e-11,True,5.551115123125783e-17
4,0.4,1.089623183347932e-16,1.143337747362175e-05,True,5.756570852408267e-09,True,2.7755575615628914e-17
4,0.5,5.551115123125783e-17,3.761877535244825e-05,True,5.545469015750804e-08,True,5.551115123125783e-17
4,0.8,1.1102230246251565e-16,0.0005478388227901617,True,4.343869081872984e-06,True,1.1102230246251565e-16
4,1.0,5.551115123125783e-17,0.0014794595479950493,True,2.3285238635447342e-05,True,1.1102230246251565e-16
4,2.0,3.3306690738754696e-16,0.018136277917150147,True,0.004365013323206344,True,3.3306690738754696e-16
8,0.025,1.1036076973071005e-16,5.265969951762095e-15,False,4.84843512096504e-15,False,1.3877787807814457e-17
8,0.05,7.604322987270207e-17,1.3269491665362657e-14,False,5.079270337660091e-15,False,1.3877787807814457e-17
8,0.1,1.083931121942383e-16,5.5837404708632204e-14,False,5.590940293848844e-15,False,2.7755575615628914e-17
8,0.2,1.1102230246251565e-16,1.0152446202304487e-11,True,7.065634129108878e-15,False,5.551115123125783e-17
8,0.4,1.0408340855860843e-16,2.084880171936286e-09,True,8.509155154610063e-15,False,1.6653345369377348e-16
8,0.5,1.1102230246251565e-16,1.8815452023815498e-08,True,8.043563897910369e-15,False,1.1102230246251565e-16
8,0.8,1.1102230246251565e-16,8.296432551426129e-07,True,3.3926824372438797e-13,True,2.220446049250313e-16
8,1.0,1.1102230246251565e-16,3.6172351087594567e-06,True,7.909681650345471e-12,True,1.1102230246251565e-16
8,2.0,1.1102230246251565e-16,0.00012668627715742555,True,1.2572505995907092e-07,True,2.220446049250313e-16
