seed,q,dt,n_train,restarts_run,seconds,loss,rel_l2_end,rel_l2_all_outputs,chain_rel_l2
0,8,0.8,2000,6,158.2,2.0452247766216303e-05,0.0037705232109876,0.0039131841968849,0.0114110270684433
1,8,0.8,2000,6,111.5,2.6229876230459076e-05,0.0036079805109029,0.0048361322010283,0.0313428065236294
2,8,0.8,2000,6,109.1,6.565526534012716e-06,0.0024299906570203,0.0023665069291442,0.010842578456917
0,2,0.8,2000,6,101.6,2.5075128194975238e-05,0.03843487471858577,0.05519062033700053,0.02585478615976584
1,2,0.8,2000,6,67.2,1.019663834961631e-05,0.040037111480161355,0.055884990807289085,0.019524416043718674
2,2,0.8,2000,6,67.8,1.6559971573739666e-05,0.03945247765379086,0.05573594570547502,0.028132780495166872
0,4,0.8,2000,6,70.0,1.4133855720995563e-05,0.004498893723337676,0.0056797005154046835,0.01185038213663752
1,4,0.8,2000,6,69.5,1.979121970385539e-05,0.005122191882637072,0.006459876660558493,0.01958185822692894
2,4,0.8,2000,6,71.0,2.2628439362734462e-05,0.00457072645089086,0.006286283718020764,0.025123060174231965
0,16,0.8,2000,6,98.3,1.4113275685790669e-05,0.0036736543456647106,0.0032939197985989116,0.0035528886333389097
1,16,0.8,2000,6,97.7,1.3320008562004307e-05,0.0036321703788110703,0.0032974452406947926,0.012733141445639574
2,16,0.8,2000,6,101.3,7.100301304127833e-06,0.0027560552980306634,0.0024489379028448206,0.002180732835986601
0,32,0.8,2000,6,285.8,6.16612370198395e-06,0.0029114459982375316,0.0022488614375370188,0.010200170881965469
1,32,0.8,2000,6,146.7,2.012195865728635e-05,0.004116661461443533,0.003993542461571181,0.006519204408312211
2,32,0.8,2000,6,140.9,8.169915344638159e-06,0.003632978318472439,0.0026979500850618345,0.005130601519248672
