q,order,median_error,max_error,solver_success
1,2,0.2558383380218702,3.2471518048806427,1.0
2,4,0.010970820671641006,0.30947067024332814,1.0
3,6,0.0005203535611920207,0.030060007175557537,1.0
4,8,2.0485830660107902e-05,0.0012811454356288661,1.0
5,10,1.1094829049090647e-06,0.00010271218050397814,1.0
6,12,4.686820874408674e-08,3.99246177290374e-05,1.0
8,16,1.0567359749504693e-10,1.742916365647384e-07,1.0
10,20,3.349097389421106e-13,4.289463860542819e-09,1.0
12,24,2.5574564348473837e-14,2.984403140041845e-11,1.0
16,32,1.493211276350414e-14,1.1497589712861191e-12,1.0
32,64,1.185580678595927e-14,7.845267622745091e-13,1.0
