tag,arm,horizon,seed,rel_l2,rho_mse,success_015,frac_near_origin,max_modulus,adam_epochs,adam_exit,adam_cap,plateau_tol,level,front_arrived,lbfgs_restarts,lbfgs_exit,lbfgs_cap,converged,loss_total,loss_ic,loss_res,loss_reg,final_grad_norm,extensions,adam_seconds,lbfgs_seconds,tau_final,failure_class,residual_small_fraction,residual_peak,t_rho_above_1e-2,t_relL2_above_0.15
base_unw_T14_s0,base_unw,14.0,0,8.019124844871502e-05,2.9781972592614705e-09,True,0.0,2.8299513664853966,62000,plateau,200000,0.0001,0,False,8,stalled,60,True,2.1977690413657794e-07,1.5347358676859872e-13,2.1977675066299118e-07,,4.385920520129336e-06,1,126.5,30.4,,success,1.0,0.008533115757258104,,
base_unw_T14_s1,base_unw,14.0,1,0.7132491554729868,0.25492522407333884,False,0.5096359743040685,2.8299531841732444,60000,plateau,200000,0.0001,0,False,13,stalled,60,True,5.271145324349696e-07,5.56678043074588e-13,5.271139757569265e-07,,2.3816186944761287e-05,1,352.9,70.7,,parked,0.9914346895074947,78.20567280822924,6.8500000000000005,7.03
base_unw_T14_s2,base_unw,14.0,2,5.1550375484238557e-05,1.3302920365892789e-09,True,0.0,2.829989217458232,60000,plateau,200000,0.0001,0,False,7,stalled,60,True,3.6543481425512336e-07,3.399862440981953e-13,3.6543447426887927e-07,,1.5001024461949997e-05,1,179.9,20.4,,success,1.0,0.003788601766122491,,
base_unw_T14_s3,base_unw,14.0,3,0.850620406744268,0.3609833236992694,False,0.721627408993576,2.8291894126995785,64750,plateau,200000,0.0001,0,False,4,stalled,60,True,3.453489317256562e-07,1.9771672870929873e-12,3.453469545583691e-07,,3.880017361736856e-05,1,219.6,10.9,,parked,0.9907209136331192,104.81785514604024,3.88,4.0
base_unw_T14_s4,base_unw,14.0,4,0.00017306455107681415,1.384034121801556e-08,True,0.0,2.8300022125030133,60000,plateau,200000,0.0001,0,False,9,stalled,60,True,5.22732812010926e-07,1.5475480331500402e-13,5.227326572561227e-07,,1.7352474124214474e-05,1,25.3,22.2,,success,1.0,0.011112080701589403,,
base_unw_T14_s5,base_unw,14.0,5,0.00018847052526868287,1.6356403494654874e-08,True,0.0,2.8299559245032953,60250,plateau,200000,0.0001,0,False,8,stalled,60,True,5.614681682356218e-07,3.230975010600343e-14,5.614681359258717e-07,,1.0340930194685949e-05,1,112.1,22.6,,success,1.0,0.006755317165297823,,
base_unw_T14_s6,base_unw,14.0,6,0.840067286882311,0.35008729580485437,False,0.6995003568879372,2.8291118812015204,60000,plateau,200000,0.0001,0,False,4,stalled,60,True,1.7506313751873825e-07,3.6339580370035495e-13,1.7506277412293456e-07,,7.717022228001679e-06,1,173.2,10.2,,parked,0.987152034261242,63.03988687351475,4.18,4.32
base_unw_T14_s7,base_unw,14.0,7,0.000178758270431559,1.4400204397723656e-08,True,0.0,2.8299175228020563,61250,plateau,200000,0.0001,0,False,7,stalled,60,True,2.50676749400496e-07,3.3754577308051274e-13,2.506764118547229e-07,,1.2186212007343347e-05,1,142.4,19.7,,success,1.0,0.008512350590713607,,
base_unw_T14_s8,base_unw,14.0,8,0.9449889113313449,0.4291142774825401,False,0.8579586009992862,1.9999954306257057,60250,plateau,200000,0.0001,0,False,19,stalled,60,True,1.3858893331920854e-06,1.2121167781343518e-11,1.385877212024304e-06,,0.0002741603140284102,1,195.8,56.1,,parked,0.9857244825124911,63.540717670380175,1.96,2.02
base_unw_T14_s9,base_unw,14.0,9,0.7651552790447791,0.28693079864206456,False,0.5731620271234832,2.829108041551905,60000,plateau,200000,0.0001,0,False,6,stalled,60,True,4.479569930917415e-07,8.012868256812393e-13,4.479561918049158e-07,,1.9311431557936822e-05,1,194.0,15.1,,parked,0.9771591720199857,70.70452820466728,5.94,6.04
