arm,horizon,n_runs,success_rate,rel_l2_median,rel_l2_min,parked_median,max_modulus_max
base_causal,14.0,10,0.8,0.0001869249667188804,6.283058106628933e-05,0.0,5.607977126765096
base_causal,27.0,10,0.0,1.9456645304334774,0.8778277412397091,0.0,10.897300351553524
base_causal,40.0,10,0.0,2.1766358280726994,0.9491276066496336,0.0,13.728185459333867
base_unw,14.0,10,0.5,0.35678553726572015,5.513996266697589e-05,0.25481798715203424,2.8300339583861636
base_unw,27.0,10,0.0,0.9226661709142083,0.8534071951428644,0.7793409848204369,4.124831976317831
base_unw,40.0,10,0.0,0.9351192430583072,0.8711735644488371,0.8170457385653587,3.43294446333745
reg_causal,14.0,10,0.7,0.0006100532750210989,5.2457738813830755e-05,0.0,4.495795982664814
reg_causal,27.0,10,0.0,2.1565959508146335,1.32117163502201,0.0,12.589492388391466
reg_causal,40.0,10,0.0,2.753818485640825,2.062066015259951,0.0,10.755819198764982
reg_unw,14.0,10,1.0,7.704451634985766e-05,4.443227697401793e-05,0.0,2.8300397529648533
reg_unw,27.0,10,0.0,2.1970573093451895,1.5834954351460602,0.0,7.536569299838447
reg_unw,40.0,10,0.0,3.0780596620429588,2.055922485829739,0.0,8.791132870156328
resample_unw,14.0,10,1.0,0.0001528868758815443,5.343599540977851e-05,0.0,2.830012239709348
resample_unw,27.0,10,0.0,0.9018742556446925,0.9016224045217027,0.7282487967419474,2.8294380199420943
resample_unw,40.0,10,0.0,0.9347518832889263,0.9343878812047982,0.8162959260184953,2.8294312733597105
