horizon,laps,seed,n_collocation,adam_budget,adam_steps_used,front_arrived,lbfgs_restarts,seconds,loss_total,loss_start,loss_residual,rel_l2
40.0,6.003043369800688,0,800,240000,240000,False,3,4607.2,0.02112139337929299,2.3963058211577807e-09,0.02112139098298717,0.7937990538074564
40.0,6.003043369800688,1,800,240000,240000,False,3,4620.7,0.05011485407778088,0.0002949173265731323,0.049819936751207744,2.0841743588790345
40.0,6.003043369800688,2,800,240000,240000,False,6,4591.2,0.05586113728026261,0.0003014530897488291,0.05555968419051378,2.289352208812813
