horizon,seed,phase,step,epsilon,loss_weighted,loss_total,loss_start,loss_residual,min_weight,awake_fraction
40.0,0,adam,0,0.01,1.7349368892197359,1.7351645368664117,1.7112104307919258,0.02395410607448591,0.981070866716782,1.0
40.0,0,adam,500,0.01,0.03358614782083267,0.03398164229712331,0.0008206434699811653,0.033160998827142144,0.974757728776288,1.0
40.0,0,adam,1000,0.01,0.026419554085890112,0.026683695258492016,0.0003406284752570877,0.02634306678323493,0.9793742620613696,1.0
40.0,0,adam,1500,0.01,0.026191859035395747,0.026428947416031412,0.0017344142934433572,0.024694533122588055,0.980454387365328,1.0
40.0,0,adam,2000,0.01,0.023720273971667614,0.02394240367232248,8.256848185043274e-05,0.023859835190472047,0.9811167363313078,1.0
40.0,0,adam,2500,0.01,0.02304941564278634,0.023256889288655287,0.0002330383171357138,0.02302385097151957,0.9817749676628622,1.0
40.0,0,adam,3000,0.01,0.022070753915372828,0.022265542673742283,8.121424191203768e-06,0.02225742124955108,0.9823422061402491,1.0
40.0,0,adam,3500,0.01,0.02169045018139913,0.021875744795742,0.00019829469254049835,0.0216774501032015,0.9827767406221013,1.0
40.0,0,adam,4000,0.01,0.021293149972495297,0.021474179112151326,5.0567205675714685e-05,0.021423611906475612,0.9829787442277046,1.0
40.0,0,adam,4500,0.01,0.021121733229860166,0.02130067143543444,1.0845853686195865e-05,0.02128982558174824,0.983078721958424,1.0
40.0,0,adam,5000,0.01,0.0212193005140862,0.021397184190389846,0.00017819651592437447,0.02121898767446547,0.98312871721099,1.0
40.0,0,adam,5500,0.01,0.02140292836614224,0.021580615680257022,0.0003628234712115022,0.02121779220904552,0.9831409248971503,1.0
40.0,0,adam,6000,0.01,0.021137688263075383,0.021314311615332513,0.0001748986251479093,0.021139412990184604,0.9831880700908574,1.0
40.0,0,adam,6500,0.01,0.021058842378237113,0.021235403414716365,9.770739238575505e-05,0.02113769602233061,0.9831918185266979,1.0
40.0,0,adam,7000,0.01,0.0209704078306296,0.021146813528610715,2.0370179810966656e-05,0.021126443348799748,0.9831990701498011,1.0
40.0,0,adam,7500,0.01,0.021094301431024965,0.021270816376187846,0.00013669436824017878,0.02113412200794767,0.983195401616482,1.0
40.0,0,adam,8000,0.01,0.02097045673134849,0.021146863240106954,2.1866931861129968e-05,0.021124996308245825,0.9832002248160255,1.0
40.0,0,adam,8500,0.01,0.0211492398777934,0.021325585278240973,0.0002073345907071073,0.021118250687533865,0.983201926740116,1.0
40.0,0,adam,9000,0.01,0.021346230570395815,0.021522718227814323,0.0003931300851100706,0.021129588142704252,0.9831967443086191,1.0
40.0,0,adam,9500,0.01,0.020958205294349313,0.021134471931946047,2.1617260688687505e-05,0.02111285467125736,0.9832065733747796,1.0
40.0,0,adam,10000,0.01,0.020990860696048587,0.021167042458272427,5.941889530461524e-05,0.021107623562967814,0.9832101878245164,1.0
40.0,0,adam,10500,0.01,0.02093729230434373,0.021113424905855046,9.821523113558968e-06,0.021103603382741486,0.983212790304145,1.0
40.0,0,adam,11000,0.01,0.02117893223485216,0.021355455692829237,0.00022824102013787562,0.021127214672691363,0.9831943420189388,1.0
40.0,0,adam,11500,0.01,0.020927965785030575,0.021104057665584076,2.8673226066643107e-06,0.021101190342977413,0.9832147629477308,1.0
40.0,0,adam,12000,0.01,0.02094081351330157,0.021116917552561086,1.6468979246422366e-05,0.021100448573314664,0.9832141354995118,1.0
40.0,0,adam,12500,0.01,0.021024436274025903,0.021200556610323128,9.917957730681899e-05,0.02110137703301631,0.9832139532110461,1.0
40.0,0,adam,13000,0.01,0.02095629691684588,0.021132409807437774,3.340554951725451e-05,0.02109900425792052,0.9832126035857578,1.0
40.0,0,adam,13500,0.01,0.02099163115141734,0.0211678590261398,6.0951015634157305e-05,0.021106908010505642,0.9832089857203015,1.0
40.0,0,adam,14000,0.01,0.021028463985425606,0.02120470036651236,9.371002641874033e-05,0.02111099034009362,0.9832095939080532,1.0
40.0,0,adam,14500,0.01,0.02103215204354401,0.02120833298744314,0.00010345058884164197,0.021104882398601497,0.9832107302977202,1.0
40.0,0,adam,15000,0.01,0.02100493249167373,0.021181218691323604,7.015458288754233e-05,0.02111106410843606,0.98320513190992,1.0
40.0,0,adam,15500,0.01,0.020933915335824508,0.02111011656999809,5.438340069366317e-06,0.021104678229928724,0.9832085293529693,1.0
40.0,0,adam,16000,0.01,0.02092140090074129,0.021097410775210552,5.162172257419891e-06,0.021092248602953133,0.9832185367133952,1.0
40.0,0,adam,16500,0.01,0.020950385776663978,0.021126383900487152,3.435130867727625e-05,0.021092032591809876,0.9832193056625643,1.0
40.0,0,adam,17000,0.01,0.02094860084330359,0.021124716968599248,2.386068706170609e-05,0.02110085628153754,0.9832121588615136,1.0
40.0,0,adam,17500,0.01,0.020916104796315782,0.021092078729197536,2.5436388870725346e-06,0.021089535090310463,0.9832206236375786,1.0
40.0,0,adam,18000,0.01,0.021003722792449418,0.021179700304068023,8.933562819132944e-05,0.021090364675876695,0.9832202664688562,1.0
40.0,0,adam,18500,0.01,0.02101244011615456,0.021188425688256293,9.84759535594244e-05,0.02108994973469687,0.9832199607720715,1.0
40.0,0,adam,19000,0.01,0.02092141397743055,0.021097401402717826,6.033356965153129e-06,0.02109136804575267,0.9832204447678353,1.0
