horizon,laps,seed,n_collocation,adam_budget,adam_steps_used,front_arrived,lbfgs_restarts,seconds,loss_total,loss_start,loss_residual,rel_l2
27.0,4.052054274615464,0,540,240000,240000,False,6,3119.5,0.0013500319319668449,3.1787290481575897e-06,0.0013468532029186873,0.8283945306745117
27.0,4.052054274615464,1,540,240000,240000,False,6,3108.3,0.00014355840495743663,1.220368891862048e-07,0.00014343636806825043,0.2391877394057304
27.0,4.052054274615464,2,540,240000,240000,False,3,3085.2,0.06736156999642942,0.0006130677489675489,0.06674850224746187,1.990106498830283
