horizon,seed,phase,step,epsilon,loss_weighted,loss_total,loss_start,loss_residual,min_weight,awake_fraction
27.0,0,adam,0,0.01,1.7346951216676432,1.7348449088090343,1.7112104307919258,0.023634478017108447,0.9873824994353759,1.0
27.0,0,adam,500,0.01,0.044555969030245626,0.045041472709237036,0.0007063324631154583,0.04433514024612158,0.9770457857657207,1.0
27.0,0,adam,1000,0.01,0.037140829306224275,0.037504578810762405,0.000121931427070157,0.03738264738369225,0.9801111298991769,1.0
27.0,0,adam,1500,0.01,0.03545063749864435,0.03577849308028774,0.00046338210984660444,0.03531511097044114,0.9811600480622698,1.0
27.0,0,adam,2000,0.01,0.032966853707654335,0.03325896802222503,7.526430049815295e-05,0.033183703721726875,0.982242191295809,1.0
27.0,0,adam,2500,0.01,0.03166189087424024,0.03193330190008064,7.245701430751337e-06,0.03192605619864989,0.9828758069281162,1.0
27.0,0,adam,3000,0.01,0.03133988536023802,0.03160598531708837,3.0704443275840477e-06,0.03160291487276079,0.983046042318474,1.0
27.0,0,adam,3500,0.01,0.031192574015176024,0.031456265501690645,3.6747099220185483e-06,0.031452590791768625,0.9831237783871946,1.0
27.0,0,adam,4000,0.01,0.031296271114950557,0.03155867346433994,0.00019125146842407882,0.031367421995915856,0.9831641220583198,1.0
27.0,0,adam,4500,0.01,0.031202183554341772,0.03146406098722393,0.00012658715609752642,0.0313374738311264,0.9831834208147308,1.0
27.0,0,adam,5000,0.01,0.031048447455296165,0.03130978754007986,8.342605350682029e-06,0.03130144493472918,0.9831987668170363,1.0
27.0,0,adam,5500,0.01,0.031037887287478774,0.03129904839946538,1.0928393352523653e-05,0.031288120006112856,0.9832049108540822,1.0
27.0,0,adam,6000,0.01,0.03103949690031742,0.03130087796860638,1.7907266363538644e-06,0.031299087241970024,0.9831987436019827,1.0
27.0,0,adam,6500,0.01,0.031060512452520405,0.03132186400255532,2.5122316309336428e-05,0.03129674168624599,0.983197475614909,1.0
27.0,0,adam,7000,0.01,0.0316119984318174,0.031873049849741354,0.000597595858932477,0.031275453990808874,0.9832071152188621,1.0
27.0,0,adam,7500,0.01,0.031046595640313198,0.03130758094500141,3.4237594689123755e-05,0.03127334335031229,0.9832119271312112,1.0
27.0,0,adam,8000,0.01,0.031407613621166154,0.031669014448862484,0.00036651550376284273,0.03130249894509964,0.9831993398243465,1.0
