horizon,laps,seed,n_collocation,restarts_run,seconds,loss_total,loss_start,loss_residual,rel_l2
3.0,0.45022825273505157,0,60,6,131.8,1.3534396309166286e-07,1.198005195943229e-12,1.3534276508646691e-07,2.312444391603319e-05
3.0,0.45022825273505157,1,60,6,134.0,1.818180064683155e-07,4.049885447301971e-12,1.8181395658286821e-07,4.605567313953145e-05
3.0,0.45022825273505157,2,60,6,131.9,1.9754711066606517e-07,4.654350497324235e-13,1.9754664523101545e-07,3.768492916003466e-05
7.0,1.0505325897151203,0,140,6,138.7,2.7500804602098704e-05,2.465733831867144e-08,2.7476147263780034e-05,0.003921865868607938
7.0,1.0505325897151203,1,140,6,140.0,1.2938685770181766e-05,4.931413966659088e-09,1.2933754356215107e-05,0.0006638050984026838
7.0,1.0505325897151203,2,140,6,120.6,2.2892245362963862e-06,6.017125065100568e-10,2.2886228237898763e-06,0.0004772706368748521
14.0,2.1010651794302406,0,280,4,84.6,0.06037063539098436,8.793861934791346e-06,0.06036184152904957,0.804897720308378
14.0,2.1010651794302406,1,280,4,90.7,0.06052005872271699,7.910440573797787e-06,0.06051214828214319,0.7933383288590541
14.0,2.1010651794302406,2,280,4,104.1,0.060555609329677594,7.3906308060375966e-06,0.06054821869887156,0.7888974891420378
27.0,4.052054274615464,0,540,5,115.7,0.031313972041925875,2.5833407054173667e-06,0.03131138870122046,0.9053310584092534
27.0,4.052054274615464,1,540,5,153.6,0.031405544665569454,2.1714589790269812e-06,0.03140337320659043,0.903169185891036
27.0,4.052054274615464,2,540,6,189.6,0.03145592796201333,2.4500883602148374e-06,0.031453477873653116,0.9044413896565501
40.0,6.003043369800688,0,800,6,532.5,0.047544839781307385,5.617445189975243e-07,0.04754427803678839,2.0921210631825895
40.0,6.003043369800688,1,800,6,253.1,0.021226856095019286,1.3923390120573184e-06,0.02122546375600723,0.9364965467377965
40.0,6.003043369800688,2,800,6,219.6,0.021449435486766002,2.8336503496223425e-06,0.02144660183641638,0.9415136027144567
