arm,T,density,n_seeds,rel_l2_median,rel_l2_min,rel_l2_max,n_front_arrived,adam_steps_used_median,n_certified_wrong,complete
causal,7.0,5.0,3,0.7536950121861904,0.19639875653152675,0.9470595061721403,3.0,12182.0,3.0,True
causal,7.0,20.0,3,7.631582234753664e-05,6.0603988118747777e-05,0.0001349793500209,3.0,14001.0,0.0,True
causal,7.0,80.0,3,7.885186185131795e-05,3.858344802763659e-05,0.00011109452143248937,3.0,10329.0,0.0,True
causal,7.0,320.0,3,9.69077347221428e-05,7.65293708459245e-05,0.00021485684903389205,3.0,10355.0,0.0,True
causal,14.0,5.0,3,0.9737748713645488,0.788473219578548,2.1217305285389494,2.0,31161.0,2.0,True
causal,14.0,20.0,3,0.000211677618809,0.0001072977375395,0.7147717034599034,0.0,60000.0,0.0,True
causal,14.0,80.0,3,0.00017848167318725613,0.00013574639687388842,0.00024076080632956092,1.0,60000.0,0.0,True
causal,14.0,320.0,3,0.000186733855359342,4.999937267061246e-05,0.0002739794922323515,0.0,60000.0,0.0,True
causal,27.0,5.0,3,2.6981616872328593,0.9866821850459843,3.013919064988522,1.0,60000.0,1.0,True
causal,27.0,20.0,3,1.9012071618261064,0.8778277412397089,1.990121899040848,0.0,60000.0,0.0,True
causal,27.0,80.0,3,1.4513614775321606,0.9009186475663958,1.990214435332211,0.0,60000.0,0.0,True
causal,27.0,320.0,3,1.4481669449364447,0.9009160272368714,1.9891930793781094,0.0,60000.0,0.0,True
causal,40.0,5.0,3,2.8916135914154664,0.9911455997875479,3.429224165265736,1.0,60000.0,1.0,True
causal,40.0,20.0,3,2.044394114942801,0.9505012642844992,2.2699609306531405,0.0,60000.0,0.0,True
causal,40.0,80.0,3,2.0513221133950323,0.9342947238167516,2.253111427332845,0.0,60000.0,0.0,True
causal,40.0,320.0,3,2.049783400424912,0.9343014340626301,2.2753472037381606,0.0,60000.0,0.0,True
unweighted,7.0,5.0,3,0.06379409897977568,0.006724114818978788,1.1377986009421066,,,,True
unweighted,7.0,20.0,3,0.0006638050984026,0.0004772706368748,0.0039218658686079,,,,True
unweighted,7.0,80.0,3,0.09374534396778939,0.00033059985447926783,0.7766206174902124,,,,True
unweighted,7.0,320.0,3,0.002127497866606673,0.0002265224842092492,0.0053359951550308645,,,,True
unweighted,14.0,5.0,3,0.912700850615724,0.8934346511706694,1.00973723159342,,,,True
unweighted,14.0,20.0,3,0.7933383288590541,0.7888974891420378,0.804897720308378,,,,True
unweighted,14.0,80.0,3,0.7900261368743977,0.7870025981346569,0.8069971267330538,,,,True
unweighted,14.0,320.0,3,0.7918061712031896,0.7836342531857727,0.8137263400589373,,,,True
unweighted,27.0,5.0,3,0.9152904892467933,0.912564132107146,0.9715753371412922,,,,True
unweighted,27.0,20.0,3,0.90444138965655,0.903169185891036,0.9053310584092534,,,,True
unweighted,27.0,80.0,3,0.9045051795407708,0.9035185810934214,0.9107739864601516,,,,True
unweighted,27.0,320.0,3,0.904157573527099,0.903411848581629,0.9078987733959765,,,,True
unweighted,40.0,5.0,3,0.9434625908432781,0.9408285005013305,2.141860496377782,,,,True
unweighted,40.0,20.0,3,0.9415136027144568,0.9364965467377964,2.092121063182589,,,,True
unweighted,40.0,80.0,3,0.9424911468471885,0.9352101041607579,2.1547701845235663,,,,True
unweighted,40.0,320.0,3,0.941104119462453,0.9364168577156083,2.124284047574658,,,,True
