big_step,stages,seed,rel_l2_trajectory,rel_l2_endpoint
3.2,64,0,0.02577063352906805,0.03973750575823368
3.2,64,1,0.03246348530186014,0.05138936454923411
3.2,64,2,0.02813327115678659,0.04514129762186493
