seed,horizon,laps,median,p10,p90,worst
0,3.0,0.45022825273505157,0.003054750517975758,0.0017064548224293512,0.006763631595931047,0.047904747122157684
0,7.0,1.0505325897151203,0.004855160589262207,0.0029863226030592822,0.011103734268647789,0.08839384075285897
0,14.0,2.1010651794302406,0.008415942966282368,0.0037696491453951993,0.016638917672034674,0.11871550007679096
0,27.0,4.052054274615464,0.015642410056396754,0.010222976507646642,0.021003246216886543,0.10051796511152025
0,40.0,6.003043369800688,0.023380877407963588,0.016352863283273008,0.030328874998265816,0.09602726947650461
1,3.0,0.45022825273505157,0.0032912667280533417,0.00167542565234073,0.007022116844633721,0.016195556228343927
1,7.0,1.0505325897151203,0.008132608559267025,0.0032133819361721823,0.013002434753248648,0.021930679362973753
1,14.0,2.1010651794302406,0.014239717376062618,0.0067096509529707546,0.02737859865743371,0.03629986408213877
1,27.0,4.052054274615464,0.033534496898750835,0.023754069751810512,0.04300280648887196,0.06284412597847526
1,40.0,6.003043369800688,0.05209411565776148,0.03976588904419475,0.06449090790921554,0.08155509104458582
2,3.0,0.45022825273505157,0.001460954805798307,0.0007759119557537626,0.0034668449853667775,0.020013373096151806
2,7.0,1.0505325897151203,0.003283795924889237,0.0016545966442565849,0.006025723302395165,0.0251997367338215
2,14.0,2.1010651794302406,0.007190141670388014,0.0039854533323649115,0.011619658011452757,0.033384719028575024
2,27.0,4.052054274615464,0.01564707845241859,0.011960754553743286,0.01869060519738025,0.03444120101175706
2,40.0,6.003043369800688,0.023573384895812836,0.019801089155562408,0.027924756736279078,0.04053514107554889
