route,horizon,median,p10,p90,worst
A  (chained dt=0.8),3.2,0.002993713247541144,0.0013013413564456015,0.0076507062930495934,0.06540299440406994
B  (one big step),3.2,0.01982838353793625,0.009626568828869747,0.03886738168622913,0.389025335141212
