label,t,y1,y2
near the origin,0.0,0.05,0.0
near the origin,0.1,0.04974169271942544,-0.005249123787232031
near the origin,0.2,0.04893365243869329,-0.010993751649035446
near the origin,0.3,0.04752669358581388,-0.01722564821654289
near the origin,0.4,0.04547274339018807,-0.02393071627845361
near the origin,0.5,0.042725450975624586,-0.031088539169731838
near the origin,0.6,0.039240842050435494,-0.038671926373992326
near the origin,0.7000000000000001,0.03497801889934164,-0.0466464617717961
near the origin,0.8,0.02989990544487867,-0.054970053925434116
near the origin,0.9,0.023974037185210375,-0.0635924883408408
near the origin,1.0,0.01717339576133886,-0.07245498299441869
near the origin,1.1,0.009477287669744388,-0.0814897507584221
near the origin,1.2,0.0008722661074715589,-0.09061957587998576
near the origin,1.3,-0.008646906008746813,-0.09975741649017036
near the origin,1.4000000000000001,-0.019076255302278675,-0.10880605127714242
near the origin,1.5,-0.030401565102156226,-0.11765779585830688
near the origin,1.6,-0.04259731910694396,-0.1261943227576964
near the origin,1.7,-0.05562563397096544,-0.13428662773507408
near the origin,1.8,-0.06943519794470528,-0.1417951937427764
near the origin,1.9000000000000001,-0.0839602382023562,-0.14857041091663356
near the origin,2.0,-0.09911954557659929,-0.15445331533873116
near the origin,2.1,-0.1148155917326362,-0.15927670918106376
near the origin,2.2,-0.13093377981460202,-0.16286671844940592
near the origin,2.3000000000000003,-0.14734187457357334,-0.16504483016948193
near the origin,2.4,-0.16388966106698682,-0.16563042715454857
near the origin,2.5,-0.1804088812359986,-0.16444380491659744
near the origin,2.6,-0.1967134940549814,-0.1613096125201333
near the origin,2.7,-0.21260029668888877,-0.15606060956112863
near the origin,2.8000000000000003,-0.22784993069988496,-0.1485415792221449
near the origin,2.9,-0.24222827884429693,-0.1386131886274733
near the origin,3.0,-0.2554882351149278,-0.12615555008277754
near the origin,3.1,-0.26737180492976304,-0.11107121841601887
near the origin,3.2,-0.27761246606149215,-0.0932873680799826
near the origin,3.3000000000000003,-0.2859376970207575,-0.07275693440109851
near the origin,3.4,-0.2920715615158697,-0.04945857848460708
near the origin,3.5,-0.295737228689232,-0.0233954428341549
near the origin,3.6,-0.2966593120499948,0.005407201252612441
near the origin,3.7,-0.29456592760358397,0.03690516183705498
near the origin,3.8000000000000003,-0.2891904048929777,0.0710389778931262
near the origin,3.9,-0.28027263386396717,0.10773744305801979
near the origin,4.0,-0.2675600953339553,0.14692027644192357
near the origin,4.1,-0.25080870282420253,0.18849906669080432
near the origin,4.2,-0.22978367823564616,0.23237546863660163
near the origin,4.3,-0.2042607933207896,0.27843548345250274
near the origin,4.4,-0.17402843318841965,0.32653850722094946
near the origin,4.5,-0.13889107600612016,0.37649971216493794
near the origin,4.6000000000000005,-0.09867492954607579,0.4280642882879058
near the origin,4.7,-0.05323660658696348,0.48087223751857194
near the origin,4.8,-0.0024758281856810485,0.5344129765879805
near the origin,4.9,0.05364683756246181,0.5879702665535106
near the origin,5.0,0.11508635182135299,0.6405603282619201
near the origin,5.1000000000000005,0.18168330939881952,0.6908698011633971
near the origin,5.2,0.25312830731617897,0.7372056020489872
near the origin,5.3,0.32892263965745394,0.7774752306029632
near the origin,5.4,0.40833954435249203,0.8092219046615619
near the origin,5.5,0.49039280547919084,0.8297406371417829
near the origin,5.6000000000000005,0.5738218593308441,0.8362941087459861
near the origin,5.7,0.6571035278546494,0.8264265512190687
near the origin,5.8,0.7384987141886108,0.7983398274847749
near the origin,5.9,0.8161368541143935,0.75125720353033
near the origin,6.0,0.8881320023979513,0.6856750749105369
near the origin,6.1000000000000005,0.9527145342315199,0.6034112736787903
near the origin,6.2,1.008355475573812,0.5074083839103234
near the origin,6.3,1.0538600145352968,0.40132617958242756
near the origin,6.4,1.088413744435189,0.28902447221385424
near the origin,6.5,1.111577058280063,0.17406399407737808
near the origin,6.6000000000000005,1.1232350772940274,0.05932947466231191
near the origin,6.7,1.123518292675107,-0.05317615878241043
near the origin,6.8,1.1127110326655454,-0.162374757025893
near the origin,6.9,1.0911619674047202,-0.2680384292228745
near the origin,7.0,1.0592055839201366,-0.3706537454399001
near the origin,7.1000000000000005,1.0170982530521149,-0.4712723028395323
near the origin,7.2,0.9649685831429998,-0.5713778941933576
near the origin,7.3,0.902779652618278,-0.6727824046831425
near the origin,7.4,0.8303002960234122,-0.7775471672793691
near the origin,7.5,0.7470836148871183,-0.8879132717636788
near the origin,7.6000000000000005,0.6524532164431749,-1.0062102241355952
near the origin,7.7,0.5455016408943563,-1.1346931962452358
near the origin,7.8,0.42511173640955213,-1.2752309209723427
near the origin,7.9,0.29002136009278146,-1.4287286129810892
near the origin,8.0,0.1389652414178863,-1.5941350322544139
near the origin,8.1,-0.029056914442771847,-1.7668939951303027
near the origin,8.2,-0.21432932652976036,-1.9368652750064843
near the origin,8.3,-0.41575306294761366,-2.0862372318280675
near the origin,8.4,-0.6300262894772107,-2.1889024463719906
near the origin,8.5,-0.8509359545194746,-2.213759237794777
near the origin,8.6,-1.0692676115590052,-2.133889885257417
near the origin,8.700000000000001,-1.2738697071260312,-1.9396279011768682
near the origin,8.8,-1.4539083760067584,-1.6476407256595278
near the origin,8.9,-1.6014514444833898,-1.2975188123633081
near the origin,9.0,-1.7130587658744723,-0.9364544512134413
near the origin,9.1,-1.7896705492993161,-0.6026241657450454
near the origin,9.200000000000001,-1.8352111180048458,-0.317076644008256
near the origin,9.3,-1.8548820399512747,-0.08508533018905674
near the origin,9.4,-1.853862244311332,0.09801736841275445
near the origin,9.5,-1.8366106215394087,0.24117135922512584
near the origin,9.6,-1.8066393573788648,0.3539425631141709
near the origin,9.700000000000001,-1.7665506787823573,0.44480106939450503
near the origin,9.8,-1.718178940771235,0.5206143389325978
near the origin,9.9,-1.662749633521164,0.5867322834370148
near the origin,10.0,-1.6010169381286414,0.6472872944126761
near the origin,10.1,-1.5333687006707915,0.7055271272807941
near the origin,10.200000000000001,-1.4598996671433124,0.7641110122946609
near the origin,10.3,-1.3804577332458392,0.8253530058943489
near the origin,10.4,-1.2946683297532282,0.8914174547205227
near the origin,10.5,-1.2019412543236812,0.9644760756890584
near the origin,10.6,-1.1014634373467047,1.046832574551697
near the origin,10.700000000000001,-0.9921809619042328,1.1410112040280729
near the origin,10.8,-0.8727747980858915,1.2497884392601255
near the origin,10.9,-0.7416381658985868,1.3761167160670036
near the origin,11.0,-0.5968709165472956,1.5228373371486388
near the origin,11.1,-0.43632045707788786,1.6919971832548597
near the origin,11.200000000000001,-0.25772262656782124,1.883474605541908
near the origin,11.3,-0.059030093534683026,2.092541675094279
