start,per_lap_factor
near the origin,0.0008596751765559728
inside the loop,0.000858470849871448
"inside, off-axis",0.0008598166927021086
close to the loop,0.000859677784601601
just outside,0.0008606665233162458
"far outside, above",0.0008577308283600992
"far outside, below",0.0008596062954905455
high velocity,0.0008596321206242972
