t,y1_rk6,y2_rk6,y1_ref,y2_ref
0.0,2.0,0.0,2.0,0.0
0.8,1.6138766610901585,0.6890798498827894,1.6543359101954265,-0.683242265989538
1.6,1.5530908288292773,-0.4307886498491257,0.9235160398748988,-1.226630521150296
2.4000000000000004,0.9460195309669996,-1.083428487927086,-0.5751985489903758,-2.6172837780694316
3.2,-0.39757956903804015,-2.4162171502211045,-1.9919320945651866,-0.2901871321937576
4.0,-1.8954507034568693,1.1087440936680033,-1.7417683243609248,0.6246661636773743
4.800000000000001,-1.0690367504129146,0.43935694730714203,-1.0762933654917268,1.0959157040917082
5.6000000000000005,-0.375001849651437,1.3685061717862483,0.2443997139483384,2.399383497072762
6.4,1.1628126121099518,2.0797053840625908,1.9264240204689296,0.7348346737825437
7.2,1.9479329867512798,13.27236436539249,1.8198584457278884,-0.5597401174454584
8.0,2569514389.4211707,-7.070697346605556e+21,1.2132324426389052,-0.9878139211589144
