loss_kind,n,seed,outer,loss
physics,50,0,0,0.0006674252344402023
physics,50,0,1,8.931979878509225e-05
physics,50,0,2,4.371817533692997e-05
physics,50,0,3,2.833381069152751e-05
physics,50,0,4,2.0372750543912797e-05
physics,50,0,5,1.5052476566544134e-05
physics,50,1,0,0.0005389939380944967
physics,50,1,1,7.903632514073583e-05
physics,50,1,2,3.812538832083425e-05
physics,50,1,3,2.321699239678419e-05
physics,50,1,4,1.4128609343680574e-05
physics,50,1,5,9.732395849801683e-06
physics,50,2,0,0.0005079109468770438
physics,50,2,1,6.764124891447493e-05
physics,50,2,2,2.5839121986043914e-05
physics,50,2,3,1.402007225043499e-05
physics,50,2,4,9.353856963198673e-06
physics,50,2,5,7.076233100988337e-06
physics,125,0,0,0.0006948478360823521
physics,125,0,1,0.00012050577083884059
physics,125,0,2,5.203323049475922e-05
physics,125,0,3,3.230423905652041e-05
physics,125,0,4,2.18057758982028e-05
physics,125,0,5,1.6356228381111596e-05
physics,125,1,0,0.0014008245080910922
physics,125,1,1,0.00033189696782723706
physics,125,1,2,0.0001303442753991484
physics,125,1,3,7.12212322959414e-05
physics,125,1,4,5.052874634811584e-05
physics,125,1,5,3.678513769180479e-05
physics,125,2,0,0.0004339858215223722
physics,125,2,1,6.828081332767392e-05
physics,125,2,2,2.7809927959252873e-05
physics,125,2,3,1.4245021846697928e-05
physics,125,2,4,8.776420047468896e-06
physics,125,2,5,5.996057816776007e-06
physics,250,0,0,0.0006950278719269827
physics,250,0,1,0.00012192017626617184
physics,250,0,2,6.130733593270097e-05
physics,250,0,3,3.735724741182291e-05
physics,250,0,4,2.4730299109345137e-05
physics,250,0,5,1.875802237888528e-05
physics,250,1,0,0.0007728829659613704
physics,250,1,1,0.00010879991190784061
physics,250,1,2,4.7944364532065876e-05
physics,250,1,3,2.7820232790766052e-05
physics,250,1,4,1.8441823268778424e-05
physics,250,1,5,1.2334905779751448e-05
physics,250,2,0,0.0003023364549323447
physics,250,2,1,4.867977355531746e-05
physics,250,2,2,2.2356678519145025e-05
physics,250,2,3,1.1863169567598227e-05
physics,250,2,4,6.920128239881072e-06
physics,250,2,5,5.017029258027449e-06
physics,500,0,0,0.0006517809115016136
physics,500,0,1,0.00012264369586107332
physics,500,0,2,5.918701739669016e-05
physics,500,0,3,3.547461617314442e-05
physics,500,0,4,2.551906280446967e-05
physics,500,0,5,1.9388024102779026e-05
