loss_kind,n,seed,q,dt,restarts_run,train_loss,rel_l2_end,rel_l2_all_outputs,seconds
physics,50,0,8,0.8,6,1.5052476566544134e-05,0.011250643031566632,0.008997409981464826,637.2
physics,50,1,8,0.8,6,9.732395849801683e-06,0.006115221005418685,0.006087515475348576,400.0
physics,50,2,8,0.8,6,7.076233100988337e-06,0.009249599112672606,0.006744544106151258,154.2
physics,125,0,8,0.8,6,1.6356228381111596e-05,0.006841497614676464,0.005887142761878263,130.0
physics,125,1,8,0.8,6,3.678513769180479e-05,0.006342267706058459,0.007315660177689838,117.3
physics,125,2,8,0.8,6,5.996057816776007e-06,0.005655581842685093,0.004080275358681055,112.0
physics,250,0,8,0.8,6,1.875802237888528e-05,0.004804288491425482,0.004279062041088319,114.3
physics,250,1,8,0.8,6,1.2334905779751448e-05,0.004097279070098438,0.003664083679031152,113.0
physics,250,2,8,0.8,6,5.017029258027449e-06,0.002561511547374312,0.002339055487425766,119.4
physics,500,0,8,0.8,6,1.9388024102779026e-05,0.0052206629875372786,0.004217441245546705,110.5
physics,500,1,8,0.8,6,2.050777725288715e-05,0.0033645296802226293,0.0039233207654816755,115.5
physics,500,2,8,0.8,6,3.344678906989471e-06,0.0018166126240738408,0.001720606730904313,112.2
physics,1000,0,8,0.8,6,1.6379708458023614e-05,0.004717195012994397,0.00380575188869022,122.6
physics,1000,1,8,0.8,6,2.5885778323456948e-05,0.003390068452959335,0.004929231161849958,99.3
physics,1000,2,8,0.8,6,7.181578110726936e-06,0.002675139340906007,0.002453274974757742,101.2
physics,2000,0,8,0.8,6,2.0452247766216306e-05,0.0037705232109876445,0.00391318419688491,84.3
physics,2000,1,8,0.8,6,2.6229876230459073e-05,0.0036079805109029196,0.00483613220102837,49.4
physics,2000,2,8,0.8,6,6.565526534012716e-06,0.002429990657020373,0.0023665069291442936,25.2
data,50,0,8,0.8,6,1.695048490987228e-06,0.006377716306412306,0.00507596808620536,20.3
data,50,1,8,0.8,6,2.580612168008146e-06,0.009820734162730526,0.005721041151495871,20.5
data,50,2,8,0.8,6,8.468167289451297e-07,0.010833215682621012,0.007531674457276455,17.6
data,125,0,8,0.8,6,2.2849670714198e-06,0.002987844166507116,0.0026030959208717076,20.8
data,125,1,8,0.8,6,3.0211675208542313e-06,0.002569978735935485,0.0023127201118203575,19.6
data,125,2,8,0.8,6,1.836553150095484e-06,0.0030697504207253252,0.0023799483880698868,18.2
data,250,0,8,0.8,6,3.360093807787138e-06,0.0018151160361795193,0.0017989737805309877,19.0
data,250,1,8,0.8,6,3.905784692970582e-06,0.0020985145234286174,0.00199165107048502,24.8
data,250,2,8,0.8,6,1.8584969300099183e-06,0.0016282431190253349,0.0014333753231361344,22.3
data,500,0,8,0.8,6,2.8344323081341804e-06,0.0016185984090254471,0.0015568808833714598,17.8
data,500,1,8,0.8,6,4.029932241522885e-06,0.0019221956807991794,0.0016758728472751928,21.4
data,500,2,8,0.8,6,2.2312439973414976e-06,0.001604847266139355,0.0013573573010662006,20.5
data,1000,0,8,0.8,6,2.4280592575712746e-06,0.0017039313483363067,0.0014286930172855588,23.7
data,1000,1,8,0.8,6,3.441961695468921e-06,0.0019389950729315564,0.0015893271510963867,25.1
data,1000,2,8,0.8,6,1.6968525764336056e-06,0.0011530219476311627,0.0011309904714961586,27.5
data,2000,0,8,0.8,6,3.652277820249616e-06,0.0016155681749650298,0.0015428944444887864,27.7
data,2000,1,8,0.8,6,3.541993075347766e-06,0.0018464643330361934,0.0015568141419058064,28.4
data,2000,2,8,0.8,6,1.7454740452079523e-06,0.001230527402352183,0.0011094243200503071,26.9
