horizon,laps,seed,n_collocation,adam_steps_used,front_arrived,lbfgs_restarts,seconds,loss_total,loss_start,loss_residual,rel_l2
3.0,0.45022825273505157,0,60,3501,True,3,29.9,2.8829887609164214e-07,3.356699782615534e-12,2.882955193918595e-07,4.794509274057723e-05
3.0,0.45022825273505157,1,60,3001,True,3,25.0,1.717969318912596e-07,1.4228594137897302e-12,1.7179550903184582e-07,3.079686150776051e-05
3.0,0.45022825273505157,2,60,5501,True,3,38.6,1.7966941241185344e-07,6.991076183464008e-12,1.7966242133566997e-07,6.665112266763157e-05
7.0,1.0505325897151203,0,140,28501,True,4,223.8,2.655703464749125e-07,2.556449228179876e-12,2.655677900256843e-07,0.0001349793500209234
7.0,1.0505325897151203,1,140,8501,True,4,73.3,6.52706512579105e-07,2.02487289020502e-14,6.527064923303762e-07,7.631582234753664e-05
7.0,1.0505325897151203,2,140,14001,True,6,116.7,2.773306071868989e-07,2.347992077180845e-13,2.773303723876912e-07,6.0603988118747777e-05
14.0,2.1010651794302406,0,280,60000,False,6,573.8,7.428521764048641e-07,1.6490060022046798e-11,7.428356863448421e-07,0.00021167761880901985
14.0,2.1010651794302406,1,280,60000,False,6,583.0,3.5424604850763404e-07,8.838510532718145e-15,3.542460396691235e-07,0.0001072977375395333
14.0,2.1010651794302406,2,280,60000,False,6,593.4,9.667277409486008e-06,1.4455874808543123e-08,9.652821534677465e-06,0.7147717034599034
27.0,4.052054274615464,0,540,60000,False,6,896.9,0.000509148641311147,4.5328406140115054e-06,0.0005046158006971356,0.8778277412397089
27.0,4.052054274615464,1,540,60000,False,6,835.6,0.004991920755271594,8.816085405142692e-06,0.004983104669866451,1.9012071618261064
27.0,4.052054274615464,2,540,60000,False,5,829.7,0.0675278682826019,0.0006174108530580377,0.06691045742954387,1.9901218990408476
40.0,6.003043369800688,0,800,60000,False,6,1088.8,5.4496125484354e-05,3.3618162563528984e-08,5.4462507321790475e-05,0.9505012642844991
40.0,6.003043369800688,1,800,60000,False,3,1061.8,0.0524127950365228,0.0003056264342190928,0.0521071686023037,2.0443941149428015
40.0,6.003043369800688,2,800,60000,False,6,1073.4,0.05530666024106477,0.0002980428091554099,0.055008617431909365,2.2699609306531405
