big_step,stages,order,solver_success,max_error,median_error,accurate,solvable_everywhere
1.6,16,32,1.0,0.0007144481344687284,3.3265816292441075e-07,False,True
1.6,32,64,1.0,5.300400076146767e-08,1.317719945515827e-12,True,True
1.6,64,128,1.0,3.229749272368408e-12,3.0786389989681966e-13,True,True
3.2,16,32,1.0,0.042731259882820054,0.004091621724942648,False,True
3.2,32,64,1.0,0.00017505694057960244,2.88900438743673e-06,False,True
3.2,64,128,1.0,2.365307697852473e-09,1.8481880925096143e-12,True,True
6.66,16,32,0.6666666666666666,0.3840112759556237,0.2989486511385066,False,False
6.66,32,64,0.8666666666666667,0.014092213219566278,0.010907760552078694,False,False
6.66,64,128,0.9,2.882337876877888e-05,1.5031130278289805e-05,False,False
