seed,settled_period,spread,error_vs_true,n_gaps
0,6.669383877509815,0.005468375584065185,0.006097018509814589,26
1,6.650049212102369,0.007073460306105866,-0.013237646897631627,26
2,6.657280614922362,0.002135603028779856,-0.006006244077638279,26
