network,horizon,laps,median,p10,p90,worst
4x32 seed 9 (selected),3.0,0.45022825273505157,0.001568385072690024,0.0008154617140467004,0.0038975616176910926,0.009322628037234632
4x32 seed 9 (selected),7.0,1.0505325897151203,0.002071646915259506,0.0011612408807003547,0.004738259810289288,0.01741082440596551
4x32 seed 9 (selected),14.0,2.1010651794302406,0.002088206904554512,0.0015071010607239674,0.0055682925356107344,0.02232445935361613
4x32 seed 9 (selected),27.0,4.052054274615464,0.002074381372279612,0.0014865185085113986,0.005997081836718167,0.01974635857128051
4x32 seed 9 (selected),40.0,6.003043369800688,0.0020374158598599826,0.0015338439917135357,0.0061235340589276335,0.02016286564659186
